date,reviewerID,restaurantID,rating,flagged
1/11/2010,MWBK-0COg8KYgDK3Y-uxsQ,-pO0hsi0xlF4FwqLGJUizg,4,Y
1/14/2011,WMB4tzeeK35HaBNFxZQORw,juop6_3dLfPDo-un-ZuXrg,5,Y
1/16/2009,omWDT2j0yV18Qf3Q-ybuaQ,ALwH81_sqskLmwfWS-_eeQ,2,Y
1/16/2011,43lhkiVX0LjYMPGxS5JGVA,_n3OmwreEGPQmiHKklsD8w,2,Y
1/3/2011,-EqID-_d9pbP56VEmLROQQ,8d_DiHWB-pjBVW3a7D8EWg,5,Y
10/10/2010,FQoFRKPIjMpyYNRr9OcxDA,juop6_3dLfPDo-un-ZuXrg,5,Y
11/24/2009,zLebKL1ts5sRmJKtO_tPYA,juop6_3dLfPDo-un-ZuXrg,5,Y
11/26/2010,zZFZJxcxXLvIvQvhxoCOag,juop6_3dLfPDo-un-ZuXrg,5,Y
11/6/2011,uOHd-VIlUlps6xvsJpINDQ,8d_DiHWB-pjBVW3a7D8EWg,5,Y
11/9/2010,PpvqVD-8bo3XnqSzUW_zkw,oCTlReyKjJxKPFYfCurxxQ,5,Y
12/18/2010,CxPzf5oghYYehD0Ir-FIhA,juop6_3dLfPDo-un-ZuXrg,5,Y
12/23/2011,kO7-K0ofm6BizI55uq_Nqw,_n3OmwreEGPQmiHKklsD8w,1,Y
2/14/2012,1C9YO0uJA5BwFMHZYTAflg,ALwH81_sqskLmwfWS-_eeQ,1,Y
3/14/2012,yzLqccO2yST3wS7CyqB9bg,1QKqtC4vML3QhkrSzwR_tQ,4,Y
3/2/2010,6QDVPJ2xlz2sHcDf5Fc1xQ,n-mj6IJkWyCu4BuD2dvm0A,5,Y
3/2/2012,i2Th0Zskb4Ry_aVZQMIR_Q,mCHto10PBQOKnefm7gholg,5,Y
3/7/2010,1cEG34ku8MaYW5yGFDISxw,juop6_3dLfPDo-un-ZuXrg,5,Y
4/17/2011,O-kkRvS25uRWGkYlRwEOSw,1g52-6WzlhjIOpNAsBjPJg,5,Y
4/2/2009,op-vRppPnkG1HJl_0ZtD4w,8d_DiHWB-pjBVW3a7D8EWg,5,Y
4/24/2009,lPhheJxfQc4ppGRrQp-uTQ,8d_DiHWB-pjBVW3a7D8EWg,1,Y
4/24/2009,ffsPLe7-HJDyUY3HM_b3_w,8d_DiHWB-pjBVW3a7D8EWg,1,Y
4/24/2009,abuEoFfwtgsyf0b9SnCS5A,8d_DiHWB-pjBVW3a7D8EWg,1,Y
4/4/2011,RScfqsWlGxx10z1sp6y8XQ,KomhK0JD5cleEW55YTw7MQ,4,Y
4/6/2011,Y1DHGkoQu392omyCKgXTlg,8d_DiHWB-pjBVW3a7D8EWg,4,Y
5/17/2010,0InFwuiRJ__SrdWyjXoHSA,ALwH81_sqskLmwfWS-_eeQ,1,Y
5/2/2012,XrGt-G3LeP8kMI9pN1DDow,1iehp7Z2kejBq3RSeb4Dxg,5,Y
5/4/2009,4WL6XEbFf7kszX4znTRiZA,Btjt4D8dJ-yEdsts3Tj5Hg,5,Y
6/19/2011,1VqIbYtf51YlURcEYg4Rdg,8d_DiHWB-pjBVW3a7D8EWg,4,Y
6/2/2011,84RKIJPALV9buOR7NfIRlw,rnjz2KNgsQ2YaC_kjeuuAQ,5,Y
6/24/2012,Id38ABL06RFMzmnBab8FPA,08X_5WTOVNvk4SgPRKBjjQ,1,Y
6/27/2009,J6O1sKS0iPHak3shzRcJ2w,juop6_3dLfPDo-un-ZuXrg,4,Y
7/26/2010,mhrshDTD9fGKOlPufu0_IA,juop6_3dLfPDo-un-ZuXrg,4,Y
7/29/2010,wAI5VCPe_lQD3OP68r60LQ,juop6_3dLfPDo-un-ZuXrg,5,Y
7/30/2011,QtEpEnBlXcGK7-nqWpbkbw,mCHto10PBQOKnefm7gholg,3,Y
7/8/2010,uWA2tZEWCVq4EqqiupCfPA,qqax04alS3UPx0Yp4jJNDQ,1,Y
8/11/2008,Pq-ydY62e4YBVY8x_I19sg,d6UbRb9W5eA1yL-DuVZ8ug,1,Y
